vintage_quarter,repo_full_name,clone_url,stars_at_discovery,archived_at_discovery,created_at_github,first_commit_date,snapshot_date,snapshot_sha,age_days_at_snapshot,is_young_partial,state_n_files,state_parsed_files,state_parse_rate,state_total_lines,state_n_functions,state_mean_comment_len,state_median_comment_len,state_p90_comment_len,state_mean_complexity,state_median_complexity,state_p90_complexity,state_mean_func_len,state_median_func_len,state_p90_func_len,state_mean_body_len,state_median_body_len,state_p90_body_len,state_mean_docstring_len,state_median_docstring_len,state_p90_docstring_len,state_frac_functions_with_docstring,flow_n_commits,flow_n_contributors,flow_mean_added_comment_len,flow_median_hunk_added,flow_mean_hunk_added,flow_median_added_code_lines_per_commit,flow_mean_added_code_lines_per_commit,flow_total_added_code_lines,flow_total_added_comment_lines,flow_total_added_blank_lines,flow_total_raw_added_lines,flow_total_raw_deleted_lines,flow_total_raw_n_files
2017Q3,openatx/uiautomator2,https://github.com/openatx/uiautomator2.git,8336,0,2017-09-17T12:20:42Z,2017-09-17T20:20:42+08:00,2018-03-16,2cf9ce5936c9123291197ebb884e3d6c2b7ffda4,180,0,7,7,1.0,2290,225,32.214285714285715,26.0,63,2.128888888888889,1,4,8.768888888888888,5,22,7.253333333333333,5,16,1.5155555555555555,0,6,0.3333333333333333,116,6,38.78947368421053,2.8449999999999998,5.872610902742482,9.0,22.82758620689655,2648,133,412,3307,1252,148
2017Q3,google-deepmind/pysc2,https://github.com/google-deepmind/pysc2.git,8306,0,2017-07-25T18:16:57Z,2017-08-09T18:22:30+01:00,2018-02-05,3f4fb22e7860906fd9092a1332bbd25b155a3b80,180,0,49,49,1.0,9148,442,43.36382754994742,49,69,2.990950226244344,1.0,6,11.382352941176471,4.5,23,10.122171945701357,4.0,21,1.260180995475113,0.0,1,0.45701357466063347,118,19,47.353711790393014,2.0,7.6596177387677225,4.0,26.305084745762713,3104,229,401,5095,1603,293
2017Q3,lmcinnes/umap,https://github.com/lmcinnes/umap.git,8256,0,2017-07-02T01:11:17Z,2017-07-01T21:11:18-04:00,2017-12-28,4d52a359d04eb4d83f4a30c8c4447141af978c69,180,0,6,6,1.0,2979,82,47.63095238095238,51.0,74,4.134146341463414,2.0,9,32.40243902439025,15.0,91,23.121951219512194,10.0,61,9.28048780487805,0.0,30,0.4268292682926829,120,3,47.51748251748252,2.810483870967742,12.775591176656526,4.0,26.983333333333334,3238,143,714,4458,1135,138
2017Q4,deepfakes/faceswap,https://github.com/deepfakes/faceswap.git,57539,0,2017-12-19T09:44:13Z,2017-12-15T19:47:32+08:00,2018-06-13,298228dc3e2ad099fe5e226f59cc7c7ca48d7745,180,0,45,45,1.0,4052,236,52.175,36.0,90,2.114406779661017,1.0,5,13.64406779661017,9.0,30,13.39406779661017,8.0,30,0.25,0.0,0,0.09322033898305085,130,38,55.95323741007194,3.0,10.146426427075225,6.5,44.3,5759,278,1120,14577,6681,373
2017Q4,facebookresearch/Detectron,https://github.com/facebookresearch/Detectron.git,26354,1,2017-10-05T17:32:00Z,2018-01-22T12:14:26-08:00,2018-07-21,b5dcc0fe1d091cb70f9243939258215dd63e3dfa,180,0,66,66,1.0,14272,485,47.21433990895296,49.0,75,3.331958762886598,2,7,20.868041237113403,14,48,19.028865979381443,12,46,1.8391752577319587,1,4,0.6185567010309279,57,16,48.326893052302886,2.0882352941176467,22.001362315676317,5.0,349.9122807017544,19945,5124,4101,36336,18157,307
2017Q4,matterport/Mask_RCNN,https://github.com/matterport/Mask_RCNN.git,25569,0,2017-10-19T20:28:34Z,2017-11-01T16:12:34-07:00,2018-04-30,6c9c82f5feaf5d729a72c67f33e139c4bc71399b,180,0,10,10,1.0,6183,157,41.42605633802817,42.0,67,3.4904458598726116,2,9,29.656050955414013,20,59,23.97452229299363,15,54,5.681528662420382,4,12,0.8598726114649682,108,21,42.24049473202015,1.8138528138528138,26.495334653996604,5.0,82.75925925925925,8938,2183,1810,13023,6772,174
2017Q4,pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric.git,24070,0,2017-10-06T16:03:03Z,2017-10-06T18:03:56+02:00,2018-04-04,e41e722b024e559ba5a929a032fe7070916e90d9,180,0,95,95,1.0,5055,292,37.23744292237443,33,68,2.26027397260274,1.0,5,10.023972602739725,5.0,25,9.993150684931507,5.0,25,0.030821917808219176,0.0,0,0.0273972602739726,683,6,37.5715137067938,2.5,7.687040493457662,6.0,20.026354319180086,13678,1678,3542,32747,24233,1676
2017Q4,caronc/apprise,https://github.com/caronc/apprise.git,17280,0,2017-11-25T18:06:38Z,2017-11-25T13:06:38-05:00,2018-05-24,11d9e0dc21ca0abe66ae4de56aedfb074a216a36,180,0,57,56,0.9824561403508771,12515,466,36.49276169265033,33.0,67,2.8798283261802573,2.0,6,18.894849785407725,11.0,48,16.624463519313306,8.0,43,2.2703862660944205,3.0,5,0.6030042918454935,40,2,38.312252964426875,2.1625,17.0938254228531,13.0,263.375,10535,2530,2610,20982,3826,317
2017Q4,PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech.git,12682,0,2017-11-14T12:36:30Z,2017-05-22T21:01:41+08:00,2017-11-18,99cba3b475f439c4192fedc66728be9f704681b5,180,0,44,43,0.9772727272727273,4810,167,31.745098039215687,28,64,2.7664670658682633,2,6,20.808383233532933,13,46,14.1437125748503,9,36,6.664670658682635,5,17,0.718562874251497,196,11,34.991501416430594,2.5555555555555554,12.125426756224524,10.0,70.2295918367347,13765,706,1601,17818,12221,537
2017Q4,simonw/datasette,https://github.com/simonw/datasette.git,11445,0,2017-10-23T00:39:03Z,2017-10-22T17:39:03-07:00,2018-04-20,05bdf53358ec6ea81a7dce17290f3db0cd94d23d,180,0,6,6,1.0,2609,86,45.37,43.5,72,5.604651162790698,3.0,10,26.313953488372093,11.0,66,25.848837209302324,11.0,66,0.46511627906976744,0.0,1,0.2558139534883721,256,5,43.05084745762712,2.6282894736842106,7.359692372214703,7.0,20.53125,5256,177,474,9108,4584,440
2017Q4,yzhao062/pyod,https://github.com/yzhao062/pyod.git,9991,0,2017-10-03T20:29:04Z,2017-10-03T16:29:04-04:00,2018-04-01,c5e57a7e44e4b12a6faf41d339bd3723418835a4,180,0,16,16,1.0,997,48,32.83571428571429,27.0,65,2.5208333333333335,2.0,6,15.916666666666666,14.0,39,14.4375,10.5,31,1.4791666666666667,0.0,7,0.20833333333333334,19,1,32.71022727272727,6.321428571428571,16.307869425547995,47.0,48.73684210526316,926,176,291,1762,509,60
2017Q4,espnet/espnet,https://github.com/espnet/espnet.git,9948,0,2017-12-13T00:45:11Z,2017-12-12T19:50:36-05:00,2018-06-10,2d329e8af87c95950fdc4b64c068b60eaae4c2e6,180,0,37,32,0.8648648648648649,6757,184,35.71867612293144,29.0,66,4.141304347826087,2.0,10,27.217391304347824,15.0,62,24.380434782608695,12.5,53,2.8369565217391304,0.0,9,0.41847826086956524,313,12,37.21084704448507,1.75,12.551228513726985,2.0,33.4185303514377,10460,1641,2004,15760,7591,555
2017Q4,keras-team/autokeras,https://github.com/keras-team/autokeras.git,9328,0,2017-11-19T23:18:20Z,2017-11-19T17:18:21-06:00,2018-05-18,2c573ea011597433ec213b46c5f782db2eee6bd6,180,0,31,31,1.0,4024,197,39.258620689655174,33.0,76,2.8934010152284264,2,7,13.934010152284264,8,36,11.609137055837563,7,28,2.3248730964467006,0,9,0.41116751269035534,138,5,37.42685025817556,2.7928571428571427,6.849430651743238,19.5,49.52173913043478,6834,581,1193,10659,5446,536
