repo_full_name,vintage_quarter,snapshot_sha,total_commits,ai_commits,ai_commit_fraction,tools_matched,first_ai_commit_date,marker_files_found
magenta/magenta,2016Q2,3afc2dcc292258b24fccd46641749b3eb6bb6dc3,249,0,0.0,,,
sanic-org/sanic,2016Q2,93f50b8ef7ed8fee206d2c440b096c09f1dd0af4,272,0,0.0,,,
jopohl/urh,2016Q2,52690140a2c0820da4e70fd33fcd1cf1184bf848,569,0,0.0,,,
aws/chalice,2016Q2,9bce47b4d226292bfe97a2ecaef4d20f7f6428e7,273,0,0.0,,,
httpie/http-prompt,2016Q2,4176cdcef76da9394b9d7cbbbb9d0b726a2f50a8,177,0,0.0,,,
donnemartin/gitsome,2016Q2,c55efae10e92048dfe0542809182e841ae450701,599,0,0.0,,,
tensorlayer/TensorLayer,2016Q2,9f98d6c03fbb052ecd882e34ff5ff99e56386329,602,0,0.0,,,
python-pendulum/pendulum,2016Q2,b44a5ac635a81a43b688049825440ca472c8f08c,321,0,0.0,,,
MycroftAI/mycroft-core,2016Q2,92d85013753eb9c83a8885fb455c68cbd1b4a203,501,0,0.0,,,
TheAlgorithms/Python,2016Q3,d68666ddbac396f19a17ed96548a09205fc2c816,168,0,0.0,,,
InstaPy/InstaPy,2016Q3,a86baa1e8ebec5eb0c196ec71ba4cd46bc658dd2,82,0,0.0,,,
LonamiWebs/Telethon,2016Q3,8cde95ff958abd7026470051ac36c9de915557f2,87,0,0.0,,,
x-hw/amazing-qr,2016Q3,0d50b3e2e38e65daac023d93209ed51e85154fc9,76,0,0.0,,,
MagicStack/asyncpg,2016Q3,330dbcaae70947efc010d2a84618bb5201366eb3,336,0,0.0,,,
ricequant/rqalpha,2016Q3,1eada4e2a9ffa3097296ca102dde3e845cde2dbf,213,0,0.0,,,
thtrieu/darkflow,2016Q3,55ea72f2f8a6685064177ceef6711a629350b006,218,0,0.0,,,
localstack/localstack,2016Q4,c8b33cb8f6ed31479ea5bd7fcafddda7c55674f6,93,0,0.0,,,
commaai/openpilot,2016Q4,beae7b60091660447a13e1efb527d60c9db46232,33,0,0.0,,,
kovidgoyal/kitty,2016Q4,f5d957e8ffe67bda8307fe3ec7fd34ef5ced9710,877,0,0.0,,,
keon/algorithms,2016Q4,5730582f9434c645ca369dafbe828689d95640ff,165,0,0.0,,,
jhao104/proxy_pool,2016Q4,878343fc9b466377fadfab8bddad683c1b223c22,90,0,0.0,,,
RasaHQ/rasa,2016Q4,a3aebb54cd7508f3382e3a24d3148ad5079cdfc9,860,0,0.0,,,
pytorch/vision,2016Q4,cbb05c5986f75f04750dbe50ad6092ef9c4118d0,151,0,0.0,,,
apache/tvm,2016Q4,ea9c1c597321b8e0601b44199f1c76c84af5998b,154,0,0.0,,,
rushter/MLAlgorithms,2016Q4,2b798428d847adead4d54f9957d99e1651606cf4,86,0,0.0,,,
saulpw/visidata,2016Q4,5bd3b1384c83a2316b2414bca0ddc6d7d5f998ae,205,0,0.0,,,
ageitgey/face_recognition,2017Q1,f37e636e22306d4efcc35fb1ef33d47183cfc5e7,82,0,0.0,,,
eriklindernoren/ML-From-Scratch,2017Q1,7a81dbae52aa52ea45baf7d164f4df8f559c0ca8,230,0,0.0,,,
google/python-fire,2017Q1,6c3331fb3e6197ac84320d7ddcf3c536e3b31c11,43,0,0.0,,,
pypa/pipenv,2017Q1,06acad1a754d911991ce7c559e798ebb4a155b85,996,0,0.0,,,
treeverse/dvc,2017Q1,dd8662dcfa7d961e6e02266082541c3b6bfcd09a,410,0,0.0,,,
youfou/wxpy,2017Q1,ab63e12da822dc85615fa203e5be9fa28ae0b59f,304,0,0.0,,,
wandb/wandb,2017Q1,5b0fe83665e33265e905eddf6beee03ddf5122d8,132,0,0.0,,,
fossasia/visdom,2017Q1,1126ea12bcd7b3593fa916b4f3ed4d737ca01ffb,65,0,0.0,,,
yandex/gixy,2017Q1,b14934d3ba8ec551966b8da59f2104b006aa0b16,92,0,0.0,,,
Qiskit/qiskit,2017Q1,23de5de8cc69deb1e063b6397c05517c8776beec,890,0,0.0,,,
freqtrade/freqtrade,2017Q2,0f1a36b8e946f243feede46e5093a5c24d9463bc,395,0,0.0,,,
pydantic/pydantic,2017Q2,42e2c068965d964e4c27c5ce605ec38aabd6a1f2,126,0,0.0,,,
ArchiveBox/ArchiveBox,2017Q2,eaaba8bb046dc95e5d98d7071896708ce8708235,227,0,0.0,,,
tensorflow/tensor2tensor,2017Q2,d9f807cf2738323d19aba0a20a8cf0c7f7da8b27,807,0,0.0,,,
openai/baselines,2017Q2,b05be68c55d416f7aa71f745aaf3c2999d83b83c,58,0,0.0,,,
pyecharts/pyecharts,2017Q2,acf9ca942810bd30385156b1dca7aa9183ddce64,730,0,0.0,,,
allenai/allennlp,2017Q2,87db4d2d76795e66f2ed473018614e0ec367917b,345,0,0.0,,,
kkroening/ffmpeg-python,2017Q2,7a44e549552841d80af86e34e18ba09d790e5cc8,190,0,0.0,,,
d2l-ai/d2l-zh,2017Q3,c3fd69ae9a5cbf38731d8adfcc082aa329b63377,590,0,0.0,,,
satwikkansal/wtfpython,2017Q3,17e49ee9db24d6ec16936879fb16250d12417285,205,0,0.0,,,
facebookresearch/fairseq,2017Q3,49aeab2d59b96933424e06685392eaed6a06e324,154,0,0.0,,,
onnx/onnx,2017Q3,a71125280c9410663ee8d09d5b3b0c4a239349eb,583,0,0.0,,,
horovod/horovod,2017Q3,11bc15737db643c3e616423226441b350301bff6,51,0,0.0,,,
fivetran/great_expectations,2017Q3,8d51b31204454434575621ca3fd45a3807b3d507,261,0,0.0,,,
OpenMined/PySyft,2017Q3,60621fbfbeedf41ab275ba75d80fce78c5f6a0fb,36846,185,0.005020897790804972,claude;copilot,2025-08-19T20:39:38-04:00,.claude/settings.json;.claude/skills/syft-pr-review/SKILL.md;.claude/skills/syft-pr-review/prefetch.sh
openatx/uiautomator2,2017Q3,2cf9ce5936c9123291197ebb884e3d6c2b7ffda4,139,0,0.0,,,
google-deepmind/pysc2,2017Q3,3f4fb22e7860906fd9092a1332bbd25b155a3b80,126,0,0.0,,,
lmcinnes/umap,2017Q3,4d52a359d04eb4d83f4a30c8c4447141af978c69,174,0,0.0,,,
deepfakes/faceswap,2017Q4,298228dc3e2ad099fe5e226f59cc7c7ca48d7745,219,0,0.0,,,
facebookresearch/Detectron,2017Q4,b5dcc0fe1d091cb70f9243939258215dd63e3dfa,81,0,0.0,,,
matterport/Mask_RCNN,2017Q4,6c9c82f5feaf5d729a72c67f33e139c4bc71399b,137,0,0.0,,,
pyg-team/pytorch_geometric,2017Q4,e41e722b024e559ba5a929a032fe7070916e90d9,770,0,0.0,,,
caronc/apprise,2017Q4,11d9e0dc21ca0abe66ae4de56aedfb074a216a36,48,0,0.0,,,
PaddlePaddle/PaddleSpeech,2017Q4,99cba3b475f439c4192fedc66728be9f704681b5,360,0,0.0,,,
simonw/datasette,2017Q4,05bdf53358ec6ea81a7dce17290f3db0cd94d23d,343,0,0.0,,,
yzhao062/pyod,2017Q4,c5e57a7e44e4b12a6faf41d339bd3723418835a4,32,0,0.0,,,
espnet/espnet,2017Q4,2d329e8af87c95950fdc4b64c068b60eaae4c2e6,699,0,0.0,,,
keras-team/autokeras,2017Q4,2c573ea011597433ec213b46c5f782db2eee6bd6,193,0,0.0,,,
psf/black,2018Q1,6f5e1277e9f0270de30f732e6cba5077bb6cad26,407,0,0.0,,,
python-poetry/poetry,2018Q1,bc3b73440a2d498c49ea44b6ee34d4ba53a51dbf,614,0,0.0,,,
jaakkopasanen/AutoEq,2018Q1,0e389f54ee1d738df021a6f9fc0bde45c79acf62,139,0,0.0,,,
pyodide/pyodide,2018Q1,56ef3a09605a0aff92d3d1923ec1197173fbc3cb,338,0,0.0,,,
optuna/optuna,2018Q1,2124db1afaa6adb6c48f0e16a73430343464e2a0,564,0,0.0,,,
gruns/icecream,2018Q1,6416021e708f7d4ce92e8f4daac1445e6b3dd0f9,101,0,0.0,,,
AirtestProject/Airtest,2018Q1,1f8acc45e8a88a4ed23927f888a12e36755d3dd9,251,0,0.0,,,
OlafenwaMoses/ImageAI,2018Q1,a9ff751e0223e798c81d5c7db9cce96ca754f3ce,125,0,0.0,,,
Kaggle/kaggle-cli,2018Q1,010502522050ebe87ade61e7a3219f969affaf43,76,0,0.0,,,
Drakkar-Software/OctoBot,2018Q1,eec315eb257f478b048e58026784cd8027f350f8,2307,0,0.0,,,
mlflow/mlflow,2018Q2,609483587a62e0c7d54977c5dbd50afbc882696f,440,0,0.0,,,
cvat-ai/cvat,2018Q2,04e4b4aabed0fb04d9d41fb1b94e641c22172554,49,0,0.0,,,
dagster-io/dagster,2018Q2,6aa1ac4fc4e297327928b487cbdb19476ba9951f,596,0,0.0,,,
albumentations-team/albumentations,2018Q2,ffe8bdf4cb82380a586201774e39bcf639d1b0d2,287,0,0.0,,,
flairNLP/flair,2018Q2,19a2ad69c6a8566272d3c536a9cc68e3e5b03077,530,0,0.0,,,
microsoft/nni,2018Q2,56b46003c3713bb8b833c5184233133747e36154,256,0,0.0,,,
dmlc/dgl,2018Q2,ec4216dda8ee8d2a7d85a52ed7ea75d6a5adb598,77,0,0.0,,,
Kludex/starlette,2018Q2,9d20c9f6d6a8e659460e6781745d8a286dc42442,346,0,0.0,,,
cleanlab/cleanlab,2018Q2,b8b1ab30668a26f9365a05544b4c2aa4f571f1a4,77,0,0.0,,,
data-privacy-stack/presidio,2018Q2,e22cb992113959e1960dba85a58499a6d061dde5,12,0,0.0,,,
open-mmlab/mmdetection,2018Q3,8d2f094288ac47c092f6b17beb86a887be02b864,395,0,0.0,,,
recommenders-team/recommenders,2018Q3,32994bfa0e4fa567f7afa5c523d1086d6c4272f0,1650,0,0.0,,,
newren/git-filter-repo,2018Q3,47406a6cc0e6a45217714d675dde9faa8fe9bfa0,280,0,0.0,,,
kornia/kornia,2018Q3,3657f1e7525f867ea641a2d6df232cb0c10fc76b,306,0,0.0,,,
ultralytics/yolov3,2018Q3,9e60e97a6cfd58fb7e91f256369dcc4ac838f39f,446,0,0.0,,,
arogozhnikov/einops,2018Q3,9698f0f5efa6c5a79daa75253137ba5d79a95615,152,0,0.0,,,
unit8co/darts,2018Q3,589e99095cf11f1b88ab5df03d6368ac9d6d2f86,19,0,0.0,,,
sngyai/Sequoia-X,2018Q3,882c90b795214844e6d9f60ea841c3069e309dc2,19,0,0.0,,,
