dependency_name,fan_in
eventlet,4
facexlib,4
codecov,4
opensearch-py,4
smmap,4
types-pyyaml,4
pgvector,4
sqlitedict,4
tavily-python,4
vocos,4
fake-useragent,4
bokeh,4
click-default-group,4
clean-fid,4
tables,4
typing-inspect,4
blinker,4
mako,4
pytweening,4
vllm,4
autopep8,4
unidiff,4
autoflake,4
curl-cffi,4
dask,4
akshare,4
pyloudnorm,4
toolz,4
service-identity,4
sanic,4
setuptools-scm,4
inquirer,4
gymnasium,4
invisible-watermark,4
pyaudio,4
pymilvus,4
ipaddress,4
mutagen,4
dlib,4
grpcio-status,4
dm-haiku,4
pycryptodomex,4
aiomysql,4
impacket,4
pydot,4
pyte,4
hypothesis,4
zope-interface,4
pygetwindow,4
debugpy,4
torchsde,4
num2words,4
pysrt,4
transformers-stream-generator,4
imagesize,4
numexpr,4
pyinstaller,4
humanfriendly,4
newspaper3k,4
dateparser,4
httpx-sse,4
py-cpuinfo,4
nvidia-ml-py,4
olefile,4
wikipedia,4
mpi4py,4
asttokens,4
atomicwrites,4
docling,4
asn1crypto,4
thop,4
proto-plus,4
rtree,4
rfc3986,4
asyncio,4
oauth2client,4
wmi,3
vine,3
starlette-context,3
parsel,3
snowballstemmer,3
pyhocon,3
readability-lxml,3
snowflake-connector-python,3
httptools,3
bqplot,3
stack-data,3
aiodns,3
vega-datasets,3
readchar,3
jaxtyping,3
flower,3
langchain-experimental,3
langchain-deepseek,3
youtube-transcript-api,3
imgaug,3
fugashi,3
plumbum,3
parameterized,3
langdetect,3
pyee,3
flask-admin,3
autobahn,3
azure-cognitiveservices-speech,3
osmnx,3
google-cloud-secret-manager,3
pyexecjs,3
unittest2,3
jiter,3
cached-property,3
cached-path,3
agent-client-protocol,3
urwid,3
stockstats,3
flask-session,3
langgraph-checkpoint,3
agentops,3
flask-socketio,3
pyobjc-core,3
pyobjc,3
stem,3
jsonpath-ng,3
flatbuffers,3
visualdl,3
pendulum,3
scapy,3
billiard,3
amqp,3
bert-score,3
sh,3
asgiref,3
geopy,3
art,3
kernels,3
grpcio-tools,3
pip-tools,3
gguf,3
backports-shutil-get-terminal-size,3
kafka-python,3
speechrecognition,3
plyfile,3
