vintage_quarter,n_packages,state_mean_func_len__mean,state_mean_func_len__median,state_mean_func_len__p25,state_mean_func_len__p75,state_mean_body_len__mean,state_mean_body_len__median,state_mean_body_len__p25,state_mean_body_len__p75,state_mean_complexity__mean,state_mean_complexity__median,state_mean_complexity__p25,state_mean_complexity__p75,state_median_complexity__mean,state_median_complexity__median,state_median_complexity__p25,state_median_complexity__p75,state_mean_comment_len__mean,state_mean_comment_len__median,state_mean_comment_len__p25,state_mean_comment_len__p75,state_parse_rate__mean,state_parse_rate__median,state_parse_rate__p25,state_parse_rate__p75,state_mean_docstring_len__mean,state_mean_docstring_len__median,state_mean_docstring_len__p25,state_mean_docstring_len__p75,state_frac_functions_with_docstring__mean,state_frac_functions_with_docstring__median,state_frac_functions_with_docstring__p25,state_frac_functions_with_docstring__p75,flow_mean_added_comment_len__mean,flow_mean_added_comment_len__median,flow_mean_added_comment_len__p25,flow_mean_added_comment_len__p75,flow_median_hunk_added__mean,flow_median_hunk_added__median,flow_median_hunk_added__p25,flow_median_hunk_added__p75,flow_median_added_code_lines_per_commit__mean,flow_median_added_code_lines_per_commit__median,flow_median_added_code_lines_per_commit__p25,flow_median_added_code_lines_per_commit__p75,flow_n_commits__mean,flow_n_commits__median,flow_n_commits__p25,flow_n_commits__p75,flow_n_contributors__mean,flow_n_contributors__median,flow_n_contributors__p25,flow_n_contributors__p75
2016Q3,7,14.075568891102405,15.006756756756756,11.42962962962963,16.657894736842106,12.889706656616893,14.56081081081081,9.296296296296296,16.657894736842106,3.3647107456657928,3.1824324324324325,2.5833333333333335,3.7857142857142856,2.2857142857142856,2.0,1.0,3.0,38.50631814504969,38.992805755395686,30.623595505617978,45.031042128603104,1.0,1.0,1.0,1.0,1.1858622344855136,1.25,0.4459459459459459,1.906862745098039,0.33712439803088834,0.1925925925925926,0.1283783783783783,0.7021276595744681,42.41901584241257,40.44444444444444,33.81260647359455,51.51898734177215,4.137098573195511,3.004545454545455,2.3333333333333335,4.875,15.142857142857142,12.0,5.0,31.0,109.85714285714286,95.0,34,166,6.857142857142857,5.0,2,6
2016Q4,10,9.785995821718112,9.613513513513514,8.131147540983607,12.344444444444443,8.3109507641686,7.968830305715551,6.716666666666667,9.548672566371682,2.382795312733003,2.486251580278129,1.878688524590164,2.6758620689655173,1.7,2.0,1.0,2.0,35.482305409779784,32.13843096961364,26.515625,40.780748663101605,0.8624846740231356,0.9864864864864865,0.6666666666666666,1.0,1.4750450575495104,0.9602569782897652,0.1428571428571428,1.710843373493976,0.2546808596871234,0.24138236597252988,0.1428571428571428,0.336283185840708,38.11833944430741,37.705712188702165,28.17142857142857,44.59113300492611,2.7972835497835495,2.482142857142857,2.25,2.75,10.6,10.25,4.0,17.0,175.8,102.0,55,145,12.5,8.0,5,13
2017Q1,10,13.85386254752807,12.23,11.693430656934307,14.823529411764708,11.15760462262568,10.553461538461537,8.905128205128205,12.638836179633143,3.0502009091685354,2.827988614800759,2.4269230769230767,3.3696369636963697,1.8,2.0,1.0,2.0,40.79286175841725,39.83469387755102,28.4025974025974,45.7258883248731,0.9995121951219513,1.0,1.0,1.0,2.6962579249023872,2.647141136613726,0.4818481848184818,3.8346153846153848,0.4126355720699858,0.39687253602280503,0.066006600660066,0.6,45.54128574660967,43.59735682819383,39.1892247043364,46.61896866191345,1.8059964726631392,2.0,1.0,2.3095238095238093,6.333333333333333,5.0,2.0,7.0,180.4,106.5,37,238,11.3,5.5,3,21
2017Q2,8,15.163804204097215,14.134955129828114,10.19047619047619,16.93256262042389,12.063672495912265,11.00189186147917,9.041666666666666,13.346820809248555,2.8269821338297545,2.4311682385153635,2.227642276422764,2.586505190311419,1.5,1.0,1.0,2.0,46.0457702052109,45.34764776184268,39.76410998552822,51.48148148148148,0.9946236559139785,1.0,1.0,1.0,3.10013170818495,3.1330632683489466,1.0384615384615383,3.585741811175337,0.4117726853911573,0.40879230531609667,0.1476608187134503,0.5284552845528455,45.3405030563227,44.60699668395446,39.67048710601719,50.24519230769231,2.4979459985748687,2.633928571428571,1.575187969924812,3.196078431372549,8.0,6.5,3.5,8.5,217.625,168.0,72,277,13.75,9.0,4,12
2017Q3,10,14.138610627057933,13.10121362083186,10.39622641509434,14.970149253731345,11.610022483172113,12.007834724618757,7.253333333333333,13.217391304347826,2.8240008442997966,2.7249212382181183,2.128888888888889,3.5652173913043477,1.5,1.5,1.0,2.0,44.941188600806285,44.91362109204688,39.71212121212121,50.58296557811121,0.96,1.0,1.0,1.0,2.5285881438858153,1.3878682755153342,0.7262872628726287,4.566037735849057,0.37407020080143977,0.3855013550135501,0.3333333333333333,0.4782608695652174,42.665017307668705,41.45988023952096,39.154545454545456,47.353711790393014,3.4833253683791323,2.4444444444444446,2.125,2.810483870967742,5.0,4.0,2.0,9.0,109.3,117.0,24,132,8.0,4.5,2,11
2017Q4,10,19.72773872224888,19.85161650947033,13.934010152284264,26.313953488372093,17.343469189582898,15.530981759656653,13.39406779661017,23.97452229299363,3.2003570626250033,2.8866146707043416,2.5208333333333335,3.4904458598726116,1.9,2.0,2.0,2.0,39.947370999952255,38.2480318060148,35.71867612293144,45.37,0.982459373248847,1.0,0.9824561403508772,1.0,2.384269532665988,2.0547807619131895,0.4651162790697674,2.8369565217391304,0.4214407138231535,0.41482288677996026,0.2083333333333333,0.6185567010309279,40.779466531506124,37.94188333561034,37.21084704448507,43.05084745762712,2.7612718851495943,2.5277777777777777,2.0882352941176467,2.7928571428571427,12.1,6.75,5.0,13.0,194.0,134.0,57,256,11.7,8.5,5,16
2018Q1,10,17.008754967243462,13.57668913365116,11.711009174311927,20.05295950155763,14.795278234665094,12.86197599868486,9.069444444444445,15.63551401869159,3.4288247708472817,3.0768135291499776,2.2522935779816513,4.381987577639752,1.6,1.0,1.0,2.0,37.44361150705426,38.380051781720134,34.23217922606925,40.389396709323584,1.0,1.0,1.0,1.0,2.213476732578367,1.5500000000000003,0.4579976985040276,4.009933774834437,0.3048714753651929,0.25745341614906825,0.0555555555555555,0.5132450331125827,39.55200023695811,39.714407918378825,37.28745644599303,43.66048237476809,4.541625455509177,2.291666666666667,1.681818181818182,3.3555555555555556,15.65,4.0,2.0,7.0,298.9,147.5,48,395,8.8,4.0,3,16
2018Q2,10,14.582800799568954,11.004414578983994,9.994252873563218,15.473029045643154,11.381871400299431,9.24979445595312,8.32183908045977,15.033195020746888,2.7882292837460283,2.5949835624985003,2.269767441860465,3.6390041493775938,1.5,1.5,1.0,2.0,44.49384079460831,44.246057090719496,34.173611111111114,52.01111111111111,0.9979591836734695,1.0,1.0,1.0,3.200929399269524,0.8685096525096525,0.4398340248962655,2.5511482254697286,0.2667385117920688,0.1644851393376588,0.0989399293286219,0.3908045977011494,45.448285379591084,43.94253556668983,37.0,51.5,8.373006782779509,2.799107142857143,1.9004629629629628,3.857142857142857,140.5,8.5,5.0,19.0,180.1,146.0,42,273,14.3,12.0,6,18
2018Q3,10,17.081625179859365,16.49959016393443,11.5,21.0625,14.726873786258285,13.646875,9.275,20.921875,3.1015226433043517,3.075,2.151315789473684,3.7814207650273226,1.95,2.0,1.0,3.0,37.463618849094914,35.77694235588972,25.84529505582137,47.93181818181818,0.998076923076923,1.0,1.0,1.0,2.3547513936010795,1.035806729939603,0.140625,2.6559485530546625,0.2393957279240851,0.1698717948717948,0.0789473684210526,0.3247588424437299,40.14259953788014,39.28424074074074,32.21182266009852,47.8962472406181,2.4163029758352517,2.416697058108437,2.0892857142857144,2.8333333333333335,10.9,9.0,5.0,12.0,225.1,93.5,23,237,6.6,3.0,2,10
2018Q4,10,17.330666652865155,13.856517067526243,9.783832879200729,22.96296296296296,15.76875712102706,12.001281097611372,8.649409627611263,20.322580645161292,3.4331164071263602,3.0903648008911166,2.442644199611147,3.674074074074074,1.75,2.0,1.0,2.0,44.03965143715572,47.018310369833216,41.55555555555556,49.48148148148148,1.0,1.0,1.0,1.0,1.5619095318380984,1.1647488908627812,0.6578947368421053,1.9230769230769231,0.2589700460142,0.24323398786418146,0.0967741935483871,0.3669724770642202,48.120998094917056,48.436431623931625,47.19230769230769,49.56410256410256,2.22286696635702,2.001923076923077,1.0,2.6139162561576352,73.6,2.5,1.0,12.0,240.1,140.0,41,249,17.8,8.0,4,28
