repo,quarter,pooled_n_commits,pooled_n_contributors,pooled_mean_added_comment_len,pooled_median_hunk_added,pooled_mean_hunk_added,pooled_median_added_code_lines_per_commit,pooled_mean_added_code_lines_per_commit,pooled_total_added_code_lines,pooled_total_added_comment_lines,pooled_total_added_blank_lines,pooled_total_raw_added_lines,pooled_total_raw_deleted_lines,pooled_total_raw_n_files,excltop_n_commits,excltop_n_contributors,excltop_mean_added_comment_len,excltop_median_hunk_added,excltop_mean_hunk_added,excltop_median_added_code_lines_per_commit,excltop_mean_added_code_lines_per_commit,excltop_total_added_code_lines,excltop_total_added_comment_lines,excltop_total_added_blank_lines,excltop_total_raw_added_lines,excltop_total_raw_deleted_lines,excltop_total_raw_n_files,top_contributor,top_contributor_share_overall
scikit-learn,2020Q3,303,106,48.355555555555554,1.6,3.4771837914082724,6.0,26.425742574257427,8007,270,961,17515,7811,706,288,105,47.669322709163346,1.5,3.3112129182886956,5.0,25.86111111111111,7448,251,872,16298,7196,661,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2020Q4,157,65,42.090196078431376,2.0,6.490136810967204,5.0,27.178343949044585,4267,255,642,12110,3613,468,139,64,43.79365079365079,1.8611111111111112,6.691380818527739,4.0,22.02158273381295,3061,189,544,9698,2530,337,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2021Q1,199,96,44.784671532846716,2.0,5.033852546953233,2.0,17.407035175879397,3464,274,538,11442,4407,446,187,95,44.44268774703557,2.0,4.724418031838437,2.0,16.02673796791444,2997,253,474,9975,3947,422,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2021Q2,234,95,47.89637305699482,2.0,4.270791477570584,4.0,126.97008547008546,29711,386,1347,72940,49856,1681,215,94,47.95294117647059,2.0,4.386060124891941,4.0,134.58139534883722,28935,340,982,70942,49440,1559,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2021Q3,327,98,49.9593023255814,2.5,3.6485228513527392,12.0,25.941896024464832,8483,172,1375,17755,6515,979,294,97,49.57534246575342,2.4615384615384617,3.442411921523377,12.0,24.768707482993197,7282,146,1186,14112,5388,892,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2021Q4,312,117,51.78333333333333,2.388888888888889,5.308358546985785,2.0,14.663461538461538,4575,240,682,21613,10631,1202,284,116,51.69897959183673,2.361111111111111,5.492910121631351,2.0,13.901408450704226,3948,196,594,19143,9299,1148,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2022Q1,394,141,48.94588744588744,2.1494565217391304,4.857462772405131,3.0,16.395939086294415,6460,462,878,17566,10849,1117,380,140,49.01598173515982,2.2222222222222223,5.021827481995128,3.0,16.294736842105262,6192,438,857,16886,9378,1060,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2022Q2,337,132,51.03365384615385,2.2941176470588234,8.455573214651142,2.0,20.827893175074184,7019,416,1237,18867,8353,692,320,131,50.70184696569921,2.0555555555555554,8.693541628988777,2.0,19.35625,6194,379,1119,15964,6769,630,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2022Q3,356,110,50.95867768595041,2.388888888888889,3.0864594391694196,5.0,14.938202247191011,5318,242,650,10443,10744,915,344,109,51.431924882629104,2.4285714285714284,2.9909020598095886,5.0,14.380813953488373,4947,213,580,9723,10303,875,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2022Q4,290,95,49.95043731778426,2.7777777777777777,5.378802484067824,3.0,18.855172413793102,5468,343,842,14644,7587,608,255,94,50.401315789473685,2.5,3.906002946127603,2.0,14.811764705882354,3777,304,573,11079,6340,528,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2023Q1,314,102,54.013215859030836,3.0,4.438554189515417,6.0,13.143312101910828,4127,227,478,10166,4855,690,294,101,52.83505154639175,3.0,4.562683675270759,5.0,11.534013605442176,3391,194,363,8608,4189,595,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2023Q2,270,77,54.65806451612903,3.0,6.228610829162414,7.0,37.1037037037037,10018,465,1120,23539,11853,1818,251,76,54.72389791183295,3.08,6.45229973044975,7.0,36.7609561752988,9227,431,993,22063,11206,1767,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2023Q3,278,75,54.3550135501355,2.5625,3.4565522672750535,1.5,16.219424460431654,4509,369,545,16064,8443,704,255,74,54.38040345821326,2.53125,3.4141087717193703,2.0,16.478431372549018,4202,347,516,14959,7780,609,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2023Q4,193,64,55.13483146067416,2.0,3.340767820519622,3.0,20.253886010362695,3909,267,506,9865,6082,491,141,63,56.097938144329895,2.0384615384615383,3.5357419186802113,3.0,21.638297872340427,3051,194,425,7382,3101,329,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2024Q1,273,89,55.903645833333336,5.0,6.710496619125725,8.0,23.76923076923077,6489,384,935,12835,4962,627,249,88,56.08595988538682,5.142857142857143,6.954073671212892,10.0,25.140562248995984,6260,349,920,12192,4370,589,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2024Q2,184,61,45.80681818181818,2.0,3.2941716393509157,3.0,20.625,3795,528,588,13593,12436,1370,177,60,45.71235521235521,2.0,2.8739422875632643,3.0,16.259887005649716,2878,518,409,10717,12354,1349,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2024Q3,162,59,46.94972067039106,3.0,6.456833633037493,5.0,38.49382716049383,6236,537,789,12729,8167,1046,151,58,46.95522388059702,3.0,6.525594461013764,5.0,40.920529801324506,6179,536,781,12482,8130,1031,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2024Q4,174,74,52.18609406952965,2.0555555555555554,3.993618462946307,4.0,24.902298850574713,4333,489,550,10878,5012,507,150,73,52.81127982646421,2.4,3.9688471890728274,4.0,26.826666666666668,4024,461,507,9504,4138,471,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2025Q1,150,61,53.26245443499393,2.0,4.281044958940633,2.0,63.22666666666667,9484,823,1698,15400,3617,629,147,60,53.31211750305997,2.0,4.107102410996116,2.0,64.35374149659864,9460,817,1698,15201,3531,622,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2025Q2,176,81,55.18817204301075,2.682142857142857,4.719958103780434,3.0,31.960227272727273,5625,372,718,12581,7436,609,174,80,55.18817204301075,2.7142857142857144,4.7479277135832945,3.0,32.31609195402299,5623,372,718,12561,7418,602,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2025Q3,184,74,50.72053872053872,2.0,4.12661550441058,3.0,34.391304347826086,6328,297,586,11475,6065,744,183,73,50.85034013605442,2.0,3.9085616029829198,3.0,34.431693989071036,6301,294,582,11416,6065,741,Guillaume Lemaitre,0.042100320838876285
