name,found,repository_url,downloads,stargazers_count,forks_count,subscribers_count,open_issues_count,total_committers,total_commits,archived
openhands-aci,True,https://github.com/All-Hands-AI/openhands-aci,4631996.0,110.0,55.0,4.0,21.0,,,True
openinference-instrumentation-anthropic,True,https://github.com/Arize-ai/openinference,595942.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
openinference-instrumentation-autogen,True,https://github.com/Arize-ai/openinference,11348.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
openinference-instrumentation-bedrock,True,https://github.com/Arize-ai/openinference,206893.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
openinference-instrumentation-crewai,True,https://github.com/Arize-ai/openinference,91380.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
openinference-instrumentation-groq,True,https://github.com/Arize-ai/openinference,11150.0,1171.0,301.0,15.0,240.0,20.0,811.0,False
openinference-instrumentation-haystack,True,https://github.com/Arize-ai/openinference,342700.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
openinference-instrumentation-langchain,True,https://github.com/Arize-ai/openinference,2525397.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
openinference-instrumentation-litellm,True,https://github.com/Arize-ai/openinference,541936.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
openinference-instrumentation-llama-index,True,https://github.com/Arize-ai/openinference,340286.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
openinference-instrumentation-mistralai,True,https://github.com/Arize-ai/openinference,17317.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
openinference-instrumentation-openai,True,https://github.com/Arize-ai/openinference,2083145.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
openinference-instrumentation-smolagents,True,https://github.com/Arize-ai/openinference,60185.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
openinference-instrumentation-vertexai,True,https://github.com/Arize-ai/openinference,61916.0,1191.0,302.0,15.0,221.0,20.0,811.0,False
opennsfw2,True,https://github.com/bhky/opennsfw2,35940.0,529.0,72.0,10.0,2.0,1.0,217.0,False
openpyxl,True,,307684086.0,,,,,,,
opensearch-py,True,https://github.com/opensearch-project/opensearch-py,46968651.0,469.0,246.0,16.0,115.0,232.0,1593.0,False
opentelemetry-api,True,https://github.com/open-telemetry/opentelemetry-python,424502476.0,2616.0,991.0,40.0,401.0,278.0,1801.0,False
opentelemetry-exporter-gcp-logging,True,https://github.com/GoogleCloudPlatform/opentelemetry-operations-python,11212855.0,83.0,46.0,33.0,85.0,27.0,213.0,False
opentelemetry-exporter-gcp-monitoring,True,https://github.com/GoogleCloudPlatform/opentelemetry-operations-python,9571779.0,83.0,47.0,33.0,85.0,27.0,213.0,False
opentelemetry-exporter-gcp-trace,True,https://github.com/GoogleCloudPlatform/opentelemetry-operations-python,14830413.0,83.0,46.0,33.0,85.0,27.0,213.0,False
opentelemetry-exporter-otlp,True,https://github.com/open-telemetry/opentelemetry-python,130144796.0,1789.0,623.0,43.0,312.0,206.0,1420.0,False
opentelemetry-exporter-otlp-proto-grpc,True,https://github.com/open-telemetry/opentelemetry-python,209379133.0,2616.0,991.0,40.0,401.0,278.0,1801.0,False
opentelemetry-exporter-otlp-proto-http,True,https://github.com/open-telemetry/opentelemetry-python,283302928.0,2616.0,991.0,40.0,401.0,278.0,1801.0,False
